,author,journal,year,document_type,doi,url,pubmed_id,author_keywords,mesh_terms,keywords,publication_type,title,review_fulltext,abstract
11,Sehgal VN and Verma P and Bhattacharya SN and Sharma S and Singh N and Verma N,Skinmed,2012,NA,NA,NA,22545322,NA,"Antigens, Bacterial/analysis and Biopsy, Fine-Needle and Humans and Immunohistochemistry and Mycobacterium tuberculosis/isolation & purification and Polymerase Chain Reaction and Skin/pathology and Skin Tests/*methods and T-Lymphocytes/immunology and Tuberculin Test and Tuberculosis, Cutaneous/*diagnosis/immunology",NA,Journal Article,Cutaneous tuberculosis: a diagnostic dilemma--laboratory inputs.,0,"Bacterial cultures are the gold standard for diagnosing cutaneous tuberculosis, but there are limitations, despite the advances embracing the innovative technologies, including interferon yrelease assays, enzyme-linked immunoabsorbant assay, and molecular diagnostics, in addition to conventional skin tests and microscopic pathology. The results and their interpretation of cultures are reviewed for use in day-to-day practice."
12,"ahin, S. and Cansu, A. and Kamaak, T. and Eybolu, . and Esenlk, G. and kten, A..",Child's Nervous System,2014,Article,10.1007/s00381-014-2454-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937965114&doi=10.1007%2fs00381-014-2454-z&partnerID=40&md5=c7ebffaa5987b988a252dc9a1ceb01f5,24881036,Child;  Hemiparesis;  Stroke;  Tuberculosis;  Tuberculous meningitis,NA,"tuberculostatic agent, acute disease;  adolescent;  case report;  complication;  drug combination;  human;  male;  neurologic examination;  nuclear magnetic resonance imaging;  paresis;  procedures;  puncture;  Stroke;  Tuberculosis, Meningeal, Acute Disease;  Adolescent;  Antitubercular Agents;  Drug Therapy, Combination;  Humans;  Magnetic Resonance Imaging;  Male;  Neurologic Examination;  Paresis;  Spinal Puncture;  Stroke;  Tuberculosis, Meningeal",NA,Lumbar puncture requirement in acute hemiparesis: Diagnosis of tuberculous meningitis after hemiparesis in a child,0,"Background: Infections are an important acquired cause of cerebral arteriopathy. Tuberculous (TB) meningitis leading to infectious cerebral vasculopathy is a rare cause of acute hemiparesis. Case report: A 14-year-old male patient was examined after acute hemiparesis developing within 1day. Neurological examination revealed total hemiplegia on the left side. Brain MRI findings showed bilateral focal T2-weighted signal hyperintensity in the subcortical and deep white matter regions. There were also areas of restricted diffusion in the right basal ganglia. Although the father had a history of pulmonary TB, the patient had not been given TB prophylaxis because of PPD negativity. At lumbar puncture, opening cerebrospinal fluid (CSF) pressure was 50cm/H20, CSF protein 66.9mg/dL, and glucose 54mg/dL (concurrent blood glucose 93mg/dL); 170 polymorphonuclear leukocytes per cubic millimeter were present in CSF. Following tests for TB, treatment was started immediately with four anti-TB drugs. TB PCR of CSF and acid-fast bacteria (AFB) staining in gastric aspirate were positive. At clinical follow-up, the patient was able to walk with support at the end of the first month. Conclusion: Various infectious agents have been reported as causes of cerebral vasculopathy. TB, which affects a significant number of patients worldwide, should be kept in mind in terms of cerebral vascular complications. Lumbar puncture is essential in order to diagnose TB meningitis.  2014, Springer-Verlag Berlin Heidelberg."
13,Schluger NW and Rom WN,American journal of respiratory and critical care medicine,1994,NA,10.1164/ajrccm.149.1.8111591,NA,8111591,NA,"Bronchoscopy and Enzyme-Linked Immunosorbent Assay and Humans and Polymerase Chain Reaction and Sputum/microbiology and Tuberculosis, Multidrug-Resistant and Tuberculosis, Pulmonary/blood/*diagnosis/microbiology/prevention & control",NA,"Journal Article and Research Support, U.S. Gov't, P.H.S. and Review",Current approaches to the diagnosis of active pulmonary tuberculosis.,0,NA
14,Laws PM and Singh M and Chalmers R,Cutis,2011,NA,NA,NA,21323098,NA,"Adult and Antitubercular Agents/therapeutic use and Hand Dermatoses/*microbiology and Hand Injuries/complications and Humans and Interferon-gamma/blood and Male and Mycobacterium tuberculosis/immunology and Tuberculin Test and Tuberculosis, Cutaneous/*diagnosis/drug therapy",NA,Case Reports and Journal Article,Nonhealing vegetating plaque on the finger: tuberculosis verrucosa cutis.,0,"Tuberculosis verrucosa cutis is an uncommon form of tuberculosis that typically presents as a chronic warty plaque. It develops in individuals with moderate to high immunity to Mycobacterium tuberculosis due to inoculation of an open wound. We present the case of a Somali man born in the United Kingdom who presented with a nonhealing ulcer on the right hand of 10 years' duration. The patient was diagnosed with tuberculosis verrucosa cutis based on clinical suspicion, which was confirmed by several investigations including strongly positive results of a Mantoux test, IFN-gamma release assay, typical histology on skin biopsy, and polymerase chain reaction (PCR) analysis positive for mycobacterial DNA. Treatment with quadruple antituberculous therapy produced rapid resolution of the ulcer. This unusual condition often is overlooked in the differential diagnosis of nonhealing ulcers, yet it has an excellent prognosis with treatment. A high index of suspicion is required."
15,Verma R and Sharma P,The Journal of the Association of Physicians of India,2011,NA,NA,NA,21751596,NA,"Antitubercular Agents/therapeutic use and Brain Stem/blood supply/*pathology and Diagnosis, Differential and Humans and Lateral Medullary Syndrome/diagnosis/*etiology and Magnetic Resonance Imaging and Male and Mycobacterium tuberculosis/*isolation & purification and Polymerase Chain Reaction and Treatment Outcome and Tuberculoma, Intracranial/*complications/diagnosis/drug therapy/microbiology and Young Adult",NA,Case Reports and Journal Article,Lateral medullary syndrome due to brain stem tuberculoma.,0,"Brainstem tuberculomas are quite unusual, accounting for less than 5 % of all intracranial tuberculoma. Intracranial tuberculoma is rare form of central nervous system tuberculosis. Lateral medullary syndrome is a combination of clinical features commonly attributed to infarction in territory of posterior inferior cerebellar artery or vertebral artery. We report a case suffering from lateral medullary syndrome resulting from brainstem tuberculoma which has not been reported so far in the literature. This patient was started on antituberculous chemotherapy and repeat magnetic resonance imaging of the cranium revealed regression of the lesion."
16,Bostantjopoulou S and Katsarou Z and Tsitouridis I and Nicolaidis P and Kimiskidis V and Kazis A,Archives of neurology,2003,NA,10.1001/archneur.60.8.1163,NA,12925377,NA,"Adult and Amphotericin B/therapeutic use and Antifungal Agents/therapeutic use and Antitubercular Agents/therapeutic use and Aspergillosis/*complications/drug therapy and Aspergillus/immunology/isolation & purification and Brain/diagnostic imaging/*pathology and Female and Humans and Immunoglobulin G/blood/cerebrospinal fluid and Immunoglobulin M/blood/cerebrospinal fluid and Magnetic Resonance Imaging and Mycobacterium tuberculosis/isolation & purification and Polymerase Chain Reaction and Radiography and Tuberculosis, Central Nervous System/blood/cerebrospinal and fluid/*complications/diagnosis/physiopathology and Tuberculosis, Pulmonary/complications/drug therapy",NA,Case Reports and Journal Article,What can be worse than cerebral tuberculosis? A concomitant [correction of concommitant] Aspergillus infection.,0,NA
17,Shet AS and Saba N and Rausch D and Belzer M,Leukemia & lymphoma,2004,NA,10.1080/1042819031000139602,NA,15101736,NA,"Adult and Biopsy and Brain/pathology and Central Nervous System Neoplasms/complications/*diagnosis/microbiology and Cerebellum/pathology and Flow Cytometry and Granuloma/pathology and Hodgkin Disease/complications/*diagnosis/pathology and Humans and Ki-1 Antigen/biosynthesis and Lymph Nodes/pathology and Lymphatic Metastasis and Lymphocytes/metabolism and Male and Polymerase Chain Reaction and Prognosis and Tomography, X-Ray Computed and Tuberculosis/*complications",NA,Case Reports and Journal Article,Intra-cranial lesions in a patient with Hodgkin lymphoma.,0,"Central nervous system (CNS) lesions in newly diagnosed, advanced Hodgkin's disease (HD) commonly suggest intracranial involvement with HD. However, occasionally this could be the result of a CNS infection. We report a case of concurrent CNS tuberculosis in a patient with stage III E HD the first reported in the English literature. Management of this case and the literature pertaining to infectious complications of HD are reviewed."
18,Huang ZK and Yao FY and Xu JQ and Deng Z and Su RG and Peng YP and Luo Q and Li JM,"Cellular physiology and biochemistry : international journal of experimental and cellular physiology, biochemistry, and pharmacology",2018,NA,10.1159/000487454,NA,29448254,NA,"Adult and Area Under Curve and Biomarkers/blood and Case-Control Studies and Female and Humans and Leukocytes, Mononuclear/cytology/metabolism and Lung Neoplasms/diagnosis/genetics/metabolism and Male and Middle Aged and Oligonucleotide Array Sequence Analysis and Pneumonia/diagnosis/genetics/metabolism and Pulmonary Disease, Chronic Obstructive/diagnosis/genetics/metabolism and RNA/genetics/*metabolism and RNA, Circular and ROC Curve and Real-Time Polymerase Chain Reaction and Transcriptome and Tuberculosis/*diagnosis/genetics/metabolism",Biomarkers and Circular RNAs and Microarray assay and Tuberculosis,Journal Article,Microarray Expression Profile of Circular RNAs in Peripheral Blood Mononuclear Cells from Active Tuberculosis Patients.,0,"BACKGROUND/AIMS: Dysregulated expression of circular RNAs (circRNAs) was demonstrated to be implicated in many diseases. Here, we aimed to determine circRNA profile in peripheral blood mononuclear cells (PBMCs) from active tuberculosis (TB) patients to identify novel biomarkers for TB. METHODS: Expression profile of circRNAs in PBMCs from 3 active pulmonary TB patients and 3 healthy controls were analyzed by microarray assay. Six circRNAs were selected for validation using real time-quantitative PCR (qRT-PCR) in 40 TB patients and 40 control subjects. Receiver operating characteristic (ROC) curve was constructed to evaluate their values in TB diagnosis. Hsa_circRNA_001937 was chosen for further evaluation in an independent cohort consisting of 115 TB, 40 pneumonia, 40 COPD, 40 lung cancer patients and 90 control subjects. An eight-month follow up was performed in 20 newly diagnosed TB patients to investigate the expression change of hsa_circRNA_001937 after chemotherapy. RESULTS: We revealed and confirmed that a number of circRNAs were dysregulated in TB patients. Of the six studied physio circRNAs, the levels of hsa_circRNA_001937, hsa_circRNA_009024 and hsa_ circRNA_005086 were significantly elevated and hsa_circRNA_102101, hsa_circRNA_104964 and hsa_circRNA_104296 were significantly reduced in PBMCs from TB patients as compared to healthy controls. ROC curve analysis suggested that hsa_circRNA_001937 has the largest area under the curve (AUC = 0.873, P<0.001). Hsa_circRNA_001937 was significantly increased in patients with TB compared with patients with pneumonia, COPD and lung cancer. Hsa_ circRNA_001937 was correlated with TB severity (r = 0.4053, P = 0.010) and its expression significantly decreased after treatment. CONCLUSION: This study identified a set of deregulated circRNAs in active TB PBMCs, our data also suggest that hsa_circRNA_001937 can be used as a potential diagnostic biomarker of TB."
19,Condos R and McClune A and Rom WN and Schluger NW,"Lancet (London, England)",1996,NA,10.1016/s0140-6736(96)90281-0,NA,8602060,NA,"Adult and Aged and Antitubercular Agents/therapeutic use and Base Sequence and DNA Primers and DNA, Bacterial/*blood/genetics and False Negative Reactions and Female and Humans and Male and Middle Aged and Molecular Sequence Data and Mycobacterium tuberculosis/*genetics and *Polymerase Chain Reaction and Prospective Studies and Sensitivity and Specificity and Tuberculosis, Pulmonary/*diagnosis/drug therapy/microbiology",NA,"Journal Article and Research Support, Non-U.S. Gov't and Research Support, U.S. Gov't, P.H.S.",Peripheral-blood-based PCR assay to identify patients with active pulmonary tuberculosis.,1,"BACKGROUND: There is a need for rapid diagnosis of pulmonary tuberculosis. We have previously used a PCR to detect circulating Mycobacterium tuberculosis DNA in blood samples from patients (mostly HIV-infected) with pulmonary tuberculosis. We have now prospectively investigated the role of this blood-based PCR assay for diagnosis of this disease in a clinical setting. METHODS: Our PCR assay is specific for the IS6110 insertion element of the M tuberculosis complex of organisms. We used it to test peripheral blood from 88 consecutive patients admitted to a chest ward with suspected pulmonary tuberculosis. Personnel who carried out the assay did not know the results of any clinical investigations and ultimate diagnosis, and clinicians did not know the PCR results. Results of the PCR assay were compared with the final clinical diagnosis. A subgroup of 15 patients had blood samples assayed serially to track the PCR signal over time. FINDINGS: 41 patients had a final clinical diagnosis of tuberculosis, and the cases were typical of those seen at our hospital: HIV infection was common, and most cases were not sputum-smear positive for acid-fast bacilli. The PCR assay correctly identified 39 of 41 patients with proven pulmonary tuberculosis, 26 (63%) of whom were sputum-smear negative. There were five patients in whom a positive PCR result did not accord with the final clinical diagnosis, and two of the 44 negative PCR results were classified as false negatives. The overall sensitivity and specificity of the PCR assay for a diagnosis of tuberculosis was 95% and 89%, respectively. In 15 patients with pulmonary tuberculosis and a positive blood assay,the PCR result remained positive after 1 month of therapy, but had reverted to negative in 13 of the 15 by 4 months of therapy. INTERPRETATION: We conclude that peripheral-blood-based PCR detection for the diagnosis of tuberculosis is a technically feasible approach that has a potentially important role in the diagnosis of pulmonary tuberculosis."
20,Koide Y and Yoshida A and Uchijima M and Yoshida TO,Immunology,1995,NA,NA,NA,8567012,NA,"Animals and Base Sequence and Cell Culture Techniques and Clonal Anergy/*immunology and Enterotoxins/immunology and Interferon-gamma/biosynthesis and Mice and Mice, Transgenic and Molecular Sequence Data and Mycobacterium bovis/*growth & development and Nitric Oxide Synthase/biosynthesis and Polymerase Chain Reaction and RNA, Messenger/genetics and Receptors, Antigen, T-Cell/*analysis and *Receptors, Antigen, T-Cell, alpha-beta and T-Lymphocytes/*immunology and Tuberculin/immunology and Tuberculosis/*immunology/microbiology",NA,"Journal Article and Research Support, Non-U.S. Gov't",Unimpaired clearance of Mycobacterium bovis BCG infection in selectively T-cell anergic TCR-V beta 8.2 transgenic mice.,0,"The anergy induced in mice with staphylococcal enterotoxin B (SEB) has been shown to involve selective unresponsiveness in cytokine expression. While interleukin-2 (IL-2), IL-3 and IL-4 mRNA levels are substantially reduced in anergic T cells upon restimulation with SEB, mRNA for interferon-gamma (IFN-gamma) is expressed normally. On the other hand, infection with Nippostrongylus brasiliensis is known to break an established T-cell anergy. This knowledge prompted us to examine the effect of infection with an intracellular microbe, bacillus Calmett-Gurin (BCG), on the expression of anergy induced with SEB. We have demonstrated that while the SEB-induced anergy was not abrogated by BCG infection, the V beta 8.2 transgenic mice, in which almost all T cells were anergized with SEB, were capable of developing the effective acquired protective immunity, possibly through the preserved capacity to induce IFN-gamma leading to induction of nitric oxide synthase."
21,Vishnevskaia EB,Klinicheskaia laboratornaia diagnostika,1998,NA,NA,NA,9742766,NA,"*Artifacts and Chromatography, Gel/methods and DNA, Bacterial/isolation & purification and Endometrium/microbiology and Female and Humans and Menstruation/blood and Mycobacterium tuberculosis/isolation & purification and Polymerase Chain Reaction/*methods and Tuberculosis, Female Genital/blood/diagnosis/microbiology",NA,Comparative Study and English Abstract and Journal Article,[Ways to decrease inhibition of the polymerase chain reaction by the components of the clinical specimens].,0,Inhibition of the polymerase chain reaction (PCR) by components of the analyzed specimen is an important problem in analysis of clinical material by this method. The inhibitory activity of clinical material can be decreased by additional purification of DNA by gel filtration on microcolumns. The method was developed using blood-containing specimens and tried on many clinical specimens. Commercial PCR kit for detecting Mycobacterium tuberculosis was used. The proposed method for DNA purification notably improves the efficacy of detecting the agents by PCR.
22,Vishnevskaia EB,Problemy tuberkuleza,1998,NA,NA,NA,9866398,NA,"DNA, Bacterial/analysis/*isolation & purification and Diagnosis, Differential and Female and Humans and Mycobacterium tuberculosis/*genetics and *Polymerase Chain Reaction and Tuberculosis, Female Genital/*microbiology and Tuberculosis, Osteoarticular/*microbiology",NA,Comparative Study and English Abstract and Journal Article,[Specific features of DNA isolation for polymerase chain reaction in extrapulmonary tuberculosis].,0,"While testing samples by the polymerase chain reaction (PCR), a procedure for DNA isolation is advisable adapted for different types of materials; thorough DNA purification is of the greatest importance in testing blood-containing samples, deep sample lysis is of particular importance for osseous tissue samples. A differential approach to isolating DNA from clinical samples allows the efficiency of PCR to be enhanced."
23,Rafi A,The Southeast Asian journal of tropical medicine and public health,1998,NA,NA,NA,10437959,NA,"Adult and Aged and Aged, 80 and over and Antibody Formation and Antigens, Bacterial/*immunology and Case-Control Studies and Enzyme-Linked Immunosorbent Assay/methods and Glycolipids/immunology and Humans and Immunoglobulin G/*blood and Immunotherapy, Active and Leprosy/complications/*immunology/therapy and Middle Aged and Mycobacterium/*immunology and Sensitivity and Specificity and Tuberculin Test and Tuberculosis/blood/complications/*immunology",NA,Comparative Study and Journal Article,IgG response to some mycobacterial antigens in selected leprosy patients.,0,Serum samples from selected leprosy patients with putative tuberculosis were tested by indirect ELISA to determine the level of IgG antibody against six mycobacterial antigen preparations. PCR-positive leprosy patients were confirmed with PGL-I ELISA. A ratio of antibodies to antigens of tuberculosis and leprosy was found to be a valuable serological marker for tuberculosis in long-treated leprosy patients.
24,Zak DE and Penn-Nicholson A and Scriba TJ and Thompson E and Suliman S and Amon LM and Mahomed H and Erasmus M and Whatney W and Hussey GD and Abrahams D and Kafaar F and Hawkridge T and Verver S and Hughes EJ and Ota M and Sutherland J and Howe R and Dockrell HM and Boom WH and Thiel B and Ottenhoff THM and Mayanja-Kizza H and Crampin AC and Downing K and Hatherill M and Valvo J and Shankar S and Parida SK and Kaufmann SHE and Walzl G and Aderem A and Hanekom WA,"Lancet (London, England)",2016,NA,10.1016/S0140-6736(15)01316-1,NA,27017310,NA,"Adolescent and Adult and Case-Control Studies and Child and Gene Expression and Humans and Middle Aged and Mycobacterium tuberculosis/genetics and Prospective Studies and RNA, Bacterial/metabolism and Reverse Transcriptase Polymerase Chain Reaction and Risk Assessment and Risk Factors and Tuberculosis/blood/*diagnosis/genetics and Young Adult",NA,"Journal Article and Research Support, N.I.H., Extramural and Research Support, Non-U.S. Gov't",A blood RNA signature for tuberculosis disease risk: a prospective cohort study.,0,"BACKGROUND: Identification of blood biomarkers that prospectively predict progression of Mycobacterium tuberculosis infection to tuberculosis disease might lead to interventions that combat the tuberculosis epidemic. We aimed to assess whether global gene expression measured in whole blood of healthy people allowed identification of prospective signatures of risk of active tuberculosis disease. METHODS: In this prospective cohort study, we followed up healthy, South African adolescents aged 12-18 years from the adolescent cohort study (ACS) who were infected with M tuberculosis for 2 years. We collected blood samples from study participants every 6 months and monitored the adolescents for progression to tuberculosis disease. A prospective signature of risk was derived from whole blood RNA sequencing data by comparing participants who developed active tuberculosis disease (progressors) with those who remained healthy (matched controls). After adaptation to multiplex quantitative real-time PCR (qRT-PCR), the signature was used to predict tuberculosis disease in untouched adolescent samples and in samples from independent cohorts of South African and Gambian adult progressors and controls. Participants of the independent cohorts were household contacts of adults with active pulmonary tuberculosis disease. FINDINGS: Between July 6, 2005, and April 23, 2007, we enrolled 6363 participants from the ACS study and 4466 from independent South African and Gambian cohorts. 46 progressors and 107 matched controls were identified in the ACS cohort. A 16 gene signature of risk was identified. The signature predicted tuberculosis progression with a sensitivity of 661% (95% CI 632-689) and a specificity of 806% (792-820) in the 12 months preceding tuberculosis diagnosis. The risk signature was validated in an untouched group of adolescents (p=0018 for RNA sequencing and p=00095 for qRT-PCR) and in the independent South African and Gambian cohorts (p values <00001 by qRT-PCR) with a sensitivity of 537% (426-643) and a specificity of 828% (767-86) in the 12 months preceding tuberculosis. INTERPRETATION: The whole blood tuberculosis risk signature prospectively identified people at risk of developing active tuberculosis, opening the possibility for targeted intervention to prevent the disease. FUNDING: Bill & Melinda Gates Foundation, the National Institutes of Health, Aeras, the European Union, and the South African Medical Research Council."
25,"Wang, Y.-Y. and Xie, B.-D.",Methods in Molecular Biology,2018,Book Chapter,10.1007/978-1-4939-7717-8_20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044432042&doi=10.1007%2f978-1-4939-7717-8_20&partnerID=40&md5=a1e96c23c49af8fb97b34eae8d2838d9,29536453,Diagnosis;  Progress;  Scoring system;  Tuberculous meningitis,NA,"adenosine deaminase;  gamma interferon;  bacterial antigen;  bacterial DNA;  gamma interferon, human;  interferon gamma release assay;  Lancet consensus scoring system;  Mycobacterium tuberculosis;  neuroimaging;  nucleic acid amplification;  polymerase chain reaction;  scoring system;  tuberculous meningitis;  blood;  brain;  diagnostic imaging;  genetics;  immunology;  isolation and purification;  microbiology;  microscopy;  nuclear magnetic resonance imaging;  procedures;  sensitivity and specificity;  serology;  tuberculous meningitis;  x-ray computed tomography, Antigens, Bacterial;  Brain;  DNA, Bacterial;  Humans;  Interferon-gamma;  Magnetic Resonance Imaging;  Microscopy;  Mycobacterium tuberculosis;  Nucleic Acid Amplification Techniques;  Sensitivity and Specificity;  Serologic Tests;  Tomography, X-Ray Computed;  Tuberculosis, Meningeal",NA,Progress on diagnosis of tuberculous meningitis,0,"Central nervous system (CNS) disease caused by Mycobacterium tuberculosis (MTB) is highly devastating. Tuberculous meningitis (TBM) is the most common form of CNS tuberculosis (TB). Rapid, sensitive, and affordable diagnostic tests are not available. ZiehlNeelsen (ZN) stain has a very low sensitivity in cases of TBM, the sensitivity rates is of about 1020%.The detection rate can be improved by taking large volume CSF samples (>6 ml) and prolonged slide examination (30 min). Culture of MTB from the CSF is slow and insufficiently sensitive. The sensitivity is different, which varies from 36% to 81.8%. The microscopic observation drug susceptibility (MODS) assay was recommended by the World Health Organization in 2011. The sensitivity is 65%, which is more sensitive and faster than CSF smear. Commercial PCR assays were found to be insensitive at detecting MTB in CSF samples. Many research provided the value of ADA on the TBM diagnosis. Interferon-gamma release assays (IGRAs) are not recommended for diagnosis of active TB disease. Imaging is essential in diagnosis and showing complications of CNS TB. Thwaites criteria and the Lancet consensus scoring system (LCSS) were developed to improve the diagnosis of TBM. Clinicians will continue to make judgment based on clinical examination, inflammatory CSF examinations, imaging studies, and scoring systems.  Springer Science+Business Media, LLC, part of Springer Nature 2018."
26,Nemes E and Meermeier EW and Scriba TJ and Walzl G and Malherbe ST and Lewinsohn DM,Seminars in respiratory and critical care medicine,2018,NA,10.1055/s-0038-1660471,NA,30071544,NA,"Humans and Intensive Care Units and Mycobacterium tuberculosis/*genetics/isolation & purification and Nucleic Acid Amplification Techniques and Positron Emission Tomography Computed Tomography and Radiography, Thoracic and Tuberculin Test and Tuberculosis/*diagnosis",NA,Journal Article and Review,Diagnostic Challenge of Tuberculosis Heterogeneity.,1,"For the ICU physician, the failure to consider, diagnose, and treat tuberculosis (TB) results in increased morbidity and mortality, and poses risks to both patients and health care providers. At present, the diagnosis of TB depends on the detection of either mycobacteria or mycobacterial products from clinical specimens. Given the risks posed to both the patient and health care providers by undiagnosed and/or untreated TB, the ability to diagnose TB rapidly in the ICU cannot be understated. In this regard, nucleic acid amplification tests provide relatively quick information about the presence of Mycobacterium tuberculosis (Mtb) DNA. If available, a blood-based test that would accurately identify persons with TB would be of use in the ICU. Currently available tests such as the T-Spot.TB or QuantiFERON-TB Gold In-Tube can discern infection with Mtb, but are not recommended for the ICU as they cannot rule out TB. In this review, we will discuss the increasing literature that would suggest that a blood-based diagnostic that reflects the host response to TB could be used to diagnose TB in the ICU."
